"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant de l’agent dans le référentiel FRAN_RI_013 du SI des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence (rico:beginningDate)","Date de fin d’existence (rico:endDate)","Histoire de l’agent (rico:history)","Identifiant ISNI","Identifiant de l’agent dans le référentiel des producteurs des Archives nationales","URI BnF"
"agent/FRAN_RI_013-d3m0bo5dav3--1xp1kra6okgvf","d3m0bo5dav3--1xp1kra6okgvf","CorporateBody","Conférence des Nations Unies sur l'environnement (1972 , Stockholm)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5i201--11k38n596qbok","d3m0bo5i201--11k38n596qbok","CorporateBody","Conférence des Nations Unies sur le commerce et le développement","CNUCED",,,,,,
"agent/FRAN_RI_013-d3m0bo5kicc-vm6zif2nnb9","d3m0bo5kicc-vm6zif2nnb9","CorporateBody","Conseil de l'Europe",,,,"Organisation intergouvernementale créée par le Traité de Londres (5 mai 1949).",,,
"agent/FRAN_RI_013-d3m0bo6xqq2--1slw56qahb1ve","d3m0bo6xqq2--1slw56qahb1ve","CorporateBody","Conseil international des archives",,,,,,,
"agent/FRAN_RI_013-d3m0bo54h5f--1wb1u27klj95u","d3m0bo54h5f--1wb1u27klj95u","CorporateBody","Conseil international des monuments et des sites","ICOMOS",,,,,,
"agent/FRAN_RI_013-d3m0bo60mb3-1vyla0doe3ozn","d3m0bo60mb3-1vyla0doe3ozn","CorporateBody","Conservatoire national des arts et métiers (France)","CNAM",,,"Créé en 1794.",,,
"agent/FRAN_RI_013-d3m0bo6hjl7--v2yyx7xzpm9h","d3m0bo6hjl7--v2yyx7xzpm9h","CorporateBody","Conservatoire national supérieur de musique et de danse de Lyon",,,,,,,
"agent/FRAN_RI_013-d3m0bo5ffpt-18v666sfeg6us","d3m0bo5ffpt-18v666sfeg6us","CorporateBody","Cour européenne des droits de l'homme",,,,,,,
"agent/FRAN_RI_013-d3m0bo60s91--1m3fiwsot6zym","d3m0bo60s91--1m3fiwsot6zym","CorporateBody","Covens et Mortier",,,,,,,
"agent/FRAN_RI_013-d3m0bo5eods-lg6s0dn1l1oa","d3m0bo5eods-lg6s0dn1l1oa","CorporateBody","Crédit agricole","Caisse nationale de crédit agricole | Office national de crédit agricole",,,"Créé en 1920.",,,
"agent/FRAN_RI_013-d-b2xrxy963-1c2nhyt67aa0t","d-b2xrxy963-1c2nhyt67aa0t","CorporateBody","Crédit foncier de France","Crédit foncier","1850-01-01",,,,,
"agent/FRAN_RI_013-d3m0bo69mr8-1tp3txtei3s4g","d3m0bo69mr8-1tp3txtei3s4g","CorporateBody","Crédit local de France",,,,"Créé en 1987 en remplacement de la Caisse d’aide à l’équipement des collectivités locales. Il fusionne en 1996 avec le Crédit communal de Belgique et devient Dexia.",,,
"agent/FRAN_RI_013-d3m0bo6qm0n-2ev5q8odd4oa","d3m0bo6qm0n-2ev5q8odd4oa","CorporateBody","Crédit maritime mutuel (France)",,,,,,,
"agent/FRAN_RI_013-d-4k2zdw9uf--l2po6wym8z0b","d-4k2zdw9uf--l2po6wym8z0b","CorporateBody","Crédit mobilier",,,,,,,
"agent/FRAN_RI_013-d-2clujrn5r-jzsoymf0k96m","d-2clujrn5r-jzsoymf0k96m","CorporateBody","Desoye Valery et Cie",,,,,,,
"agent/FRAN_RI_013-d-2g1g3yke4-i5jwaby3wjec","d-2g1g3yke4-i5jwaby3wjec","CorporateBody","Durand et Cie",,,,,,,
"agent/FRAN_RI_013-d-2fmm4ikwi-1o13vbzfddn3x","d-2fmm4ikwi-1o13vbzfddn3x","CorporateBody","Duriez, Guyot et Cie",,,,,,,
"agent/FRAN_RI_013-d3m0bo55dmu--x43ksoocaqso","d3m0bo55dmu--x43ksoocaqso","CorporateBody","Ecole Boulle (Paris)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5yeaa-1xkxja4tv2tb1","d3m0bo5yeaa-1xkxja4tv2tb1","CorporateBody","Ecole d'architecture de la ville et des territoires (Marne-la-Vallée)","Ecole d'architecture Paris-Tolbiac",,,,,,
"agent/FRAN_RI_013-d3m0bo645va-13s9tc68u8fkk","d3m0bo645va-13s9tc68u8fkk","CorporateBody","Ecole des hautes études en santé publique (Rennes)","Ecole nationale de la santé publique (Rennes)",,,,,,
"agent/FRAN_RI_013-d3m0bo63urz--1s3d8o8dxaija","d3m0bo63urz--1s3d8o8dxaija","CorporateBody","Ecole du Louvre (Paris)",,,,,,,
"agent/FRAN_RI_013-d3m0bo54mp2--1xtpzacly323x","d3m0bo54mp2--1xtpzacly323x","CorporateBody","Ecole Estienne (Paris)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6j7sy-umdugec85row","d3m0bo6j7sy-umdugec85row","CorporateBody","Ecole française d'Extrême-Orient",,,,,,,
"agent/FRAN_RI_013-d3m0bo6n227-186bxcn5zqhv3","d3m0bo6n227-186bxcn5zqhv3","CorporateBody","Ecole nationale d'administration (France)","ENA",,,"Créé en 1945.",,,
"agent/FRAN_RI_013-d3m0bo69hlu--1j7h0wm0fdga","d3m0bo69hlu--1j7h0wm0fdga","CorporateBody","Ecole nationale d'équitation (Saumur , Maine-et-Loire)","Cadre Noir de Saumur",,,,,,
"agent/FRAN_RI_013-d3m0bo5la2n-1kpv5cadr2wg4","d3m0bo5la2n-1kpv5cadr2wg4","CorporateBody","Ecole nationale de l'aviation civile (France)",,,,"Créée en 1949. Siège à Toulouse.",,,
"agent/FRAN_RI_013-d3m0bo5ohcq--avcyfsgz9kul","d3m0bo5ohcq--avcyfsgz9kul","CorporateBody","Ecole nationale de la magistrature (Bordeaux)","Centre national d'études judiciaires (Bordeaux) | ENM",,,"Créée en 1958.",,,
"agent/FRAN_RI_013-d3m0bo5o0pr--lg7lc8mc4x0l","d3m0bo5o0pr--lg7lc8mc4x0l","CorporateBody","Ecole nationale de ski et d'alpinisme (Chamonix-Mont-Blanc , Haute-Savoie)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5v09r--12c2bn7xta3y","d3m0bo5v09r--12c2bn7xta3y","CorporateBody","Ecole nationale des ponts et chaussées (France)","Ecole des Ponts ParisTech (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo6ei92-2ybtwu4vemzy","d3m0bo6ei92-2ybtwu4vemzy","CorporateBody","Ecole nationale de voile (France)",,,,"Créée en 1979.",,,
"agent/FRAN_RI_013-d3m0bo6t1kf-119rcphdpc57s","d3m0bo6t1kf-119rcphdpc57s","CorporateBody","Ecole nationale du génie rural, des eaux et des forêts (France)","Ecole nationale du génie rural (Paris) | Ecole nationale des eaux et forêts (Nancy)",,,,,,
"agent/FRAN_RI_013-d3m0bo5n9dp--1fpiowjoqgiol","d3m0bo5n9dp--1fpiowjoqgiol","CorporateBody","Ecole nationale supérieure de police (Saint-Cyr-au-Mont-d'Or , Rhône)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5hqwq--e55sge5p6ak8","d3m0bo5hqwq--e55sge5p6ak8","CorporateBody","Ecole nationale supérieure des métiers de l'image et du son (Paris)","IDHEC | Institut des hautes études cinématographiques (Paris) | FEMIS",,,,,,
"agent/FRAN_RI_013-d3m0bo6dqir--rrpanc87yq1w","d3m0bo6dqir--rrpanc87yq1w","CorporateBody","Ecole nationale supérieure des postes et télécommunications (Paris)","ENSPTT | Ecole nationale supérieure des PTT (Paris)",,,"Créée en 1878.",,,
"agent/FRAN_RI_013-d3m0bo5cjxb-vsfjp9898u0y","d3m0bo5cjxb-vsfjp9898u0y","CorporateBody","Ecole nationale supérieure maritime (France)","ENMM | Ecole nationale de la marine marchande | ENSM",,,,,,
"agent/FRAN_RI_013-d3m0bo613cc--6vch1fx9y5kk","d3m0bo613cc--6vch1fx9y5kk","CorporateBody","Ecole normale supérieure (France)",,,,"Créée en 1882. Ce descripteur désigne l'ensemble des sites.",,,
"agent/FRAN_RI_013-d3m0bo5obt2--8vys7s4xo0ip","d3m0bo5obt2--8vys7s4xo0ip","CorporateBody","Ecole normale supérieure d'éducation physique et sportive (Châtenay-Malabry , Hauts-de-Seine)","Ecole normale d'éducation physique (Paris)",,,"Créée en 1933.",,,
"agent/FRAN_RI_013-d3m0bo6jdcm-sosr9d7t4b0k","d3m0bo6jdcm-sosr9d7t4b0k","CorporateBody","Ecole polytechnique (France)","Polytechnique (France) | Ecole centrale des travaux publics (France)",,,"Créée en 1794.",,,
"agent/FRAN_RI_013-d3m0bo5vyc9--9txrsfhkftog","d3m0bo5vyc9--9txrsfhkftog","CorporateBody","Electricité de France","EDF",,,"Créé en 1946.",,,
"agent/FRAN_RI_013-d3m0bo600iq-1dh91j6pw5gib","d3m0bo600iq-1dh91j6pw5gib","CorporateBody","Elf-Aquitaine","Elf",,,,,,
"agent/FRAN_RI_013-d3m0bo5rukq--16ew8hry4f8e0","d3m0bo5rukq--16ew8hry4f8e0","CorporateBody","Entreprise minière et chimique",,,,"Etablissement public. 1967-2005.",,,
"agent/FRAN_RI_013-d3m0bo6rs0d-1twdt84d7xu9n","d3m0bo6rs0d-1twdt84d7xu9n","CorporateBody","Erika (navire)",,,,,,,
"agent/FRAN_RI_013-d3m0bo58r94-11hcxs45u18yq","d3m0bo58r94-11hcxs45u18yq","CorporateBody","Esnauts et Rapilly (17..-18..)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6bwrc--1dno8brxpzokk","d3m0bo6bwrc--1dno8brxpzokk","CorporateBody","Etablissement national des invalides de la marine (France)",,,,,,,
"agent/FRAN_RI_013-d3m0bo59d1i-gjncq039leg","d3m0bo59d1i-gjncq039leg","CorporateBody","Etablissement public d'aménagement de La Défense Seine Arche",,,,,,,
"agent/FRAN_RI_013-d-49jxcw3t91--1hd52fjonhjud","d-49jxcw3t91--1hd52fjonhjud","CorporateBody","Etablissement public de maîtrise d'ouvrage des travaux culturels",,,,,,,
"agent/FRAN_RI_013-d-49hq4gg25q-179n5itebxmip","d-49hq4gg25q-179n5itebxmip","CorporateBody","Etablissement public du grand Louvre",,,,,,,
"agent/FRAN_RI_013-d3m0bo6nd5i-1kc429fvh2r1t","d3m0bo6nd5i-1kc429fvh2r1t","CorporateBody","Etablissements français de l'Inde","Inde française",,,"Colonie française dont la capitale était Pondichéry et qui comprenait : Chandernagor, Karikal, Mahé, Pondichéry, Yanaon 1783,-1952, 1954.",,,
"agent/FRAN_RI_013-d3m0bo6n7lv-1lgbj9x4whwor","d3m0bo6n7lv-1lgbj9x4whwor","CorporateBody","Euro Disney SCA",,,,,,,
"agent/FRAN_RI_013-d3m0bo6yoea--13x08gj9kch7f","d3m0bo6yoea--13x08gj9kch7f","CorporateBody","European Aeronautic Defence and Space Company","EADS | SNIAS | Société nationale industrielle aérospatiale | Aérospatiale",,,,,,
"agent/FRAN_RI_013-d3m0bo6vdy4--1n926jy99zw2n","d3m0bo6vdy4--1n926jy99zw2n","CorporateBody","Fédération française des maisons des jeunes et de la culture",,,,"Créée en 1944.",,,
"agent/FRAN_RI_013-d3m0bo57t6n-cewwcpzao1tt","d3m0bo57t6n-cewwcpzao1tt","CorporateBody","Fédération internationale des sociétés de la Croix-Rouge et du Croissant-Rouge","Croix-Rouge",,,,,,
"agent/FRAN_RI_013-d3m0bo6l2r5--1tybi5ttem3s8","d3m0bo6l2r5--1tybi5ttem3s8","CorporateBody","Fédération nationale de sport universitaire (France)",,,,,,,
"agent/FRAN_RI_013-d3m0bo56r5j--101kp2ukpyuxx","d3m0bo56r5j--101kp2ukpyuxx","CorporateBody","Fondation de France",,,,,,,
"agent/FRAN_RI_013-d3m0bo5s5o2-6asm1jskpevu","d3m0bo5s5o2-6asm1jskpevu","CorporateBody","Fondation du patrimoine (France)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6g1be--bihpf2avfzqz","d3m0bo6g1be--bihpf2avfzqz","CorporateBody","Fondation Jean Moulin (Paris)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6eneg-1ge7r07o86t0o","d3m0bo6eneg-1ge7r07o86t0o","CorporateBody","Fondation nationale des sciences politiques (France)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5tvv3-15b014516ll5f","d3m0bo5tvv3-15b014516ll5f","CorporateBody","Fondation santé des étudiants de France",,,,,,,
"agent/FRAN_RI_013-d3m0bo5b198-1pvi8bv8shjrx","d3m0bo5b198-1pvi8bv8shjrx","CorporateBody","Fondation Singer-Polignac",,,,,,,
"agent/FRAN_RI_013-d3m0bo6f41f-1vs43pp9wd56g","d3m0bo6f41f-1vs43pp9wd56g","CorporateBody","Fonds d'intervention culturelle (France)",,,,"1971-1985.",,,
"agent/FRAN_RI_013-d3m0bo5fwcs--x6x8bplvc0j2","d3m0bo5fwcs--x6x8bplvc0j2","CorporateBody","Fonds d'intervention et d'action pour la nature et l'environnement (France)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6huoj--1kyxt6b4vat8p","d3m0bo6huoj--1kyxt6b4vat8p","CorporateBody","Fonds de coopération de la jeunesse et de l’éducation populaire (France)",,,,"Créé en 1964.",,,
"agent/FRAN_RI_013-d3m0bo58frj--111cp6ca1qb75","d3m0bo58frj--111cp6ca1qb75","CorporateBody","Fonds de développement économique et social (France)",,,,"Créé en 1955.",,,
"agent/FRAN_RI_013-d3m0bo6wnwg--5rsysj8rt9ij","d3m0bo6wnwg--5rsysj8rt9ij","CorporateBody","Fonds européen d'orientation et de garantie agricole","FEOGA",,,"Créé en 1962.",,,
"agent/FRAN_RI_013-d3m0bo6cixz-dmkseh32l9o8","d3m0bo6cixz-dmkseh32l9o8","CorporateBody","Fonds européen de développement",,,,"Créé en 1957.",,,
"agent/FRAN_RI_013-d3m0bo6iggw--2csacc74evxs","d3m0bo6iggw--2csacc74evxs","CorporateBody","Fonds européen de développement régional",,,,"Créé en 1975.",,,
"agent/FRAN_RI_013-d3m0bo6dldc--w9z8mfnv0ylp","d3m0bo6dldc--w9z8mfnv0ylp","CorporateBody","Fonds mondial pour la nature","World Wildlife Fund | WWF | Fonds mondial pour la conservation de la nature",,,,,,
"agent/FRAN_RI_013-d3m0bo5whcs--1tjirfkdfyra1","d3m0bo5whcs--1tjirfkdfyra1","CorporateBody","Fonds national d'action sanitaire et sociale (France)",,,,"Gestionnaire de l’action sociale des personnels territoriaux depuis 1966.",,,
"agent/FRAN_RI_013-d3m0bo6062e--18f1wlhf1i5tp","d3m0bo6062e--18f1wlhf1i5tp","CorporateBody","Fonds national d'art contemporain (France)",,,,"Collection gérée par le Centre national des arts plastiques.",,,
"agent/FRAN_RI_013-d3m0bo5338h--1sbo17tg0dfa1","d3m0bo5338h--1sbo17tg0dfa1","CorporateBody","Fonds national pour le développement du sport (France)",,,,"Créé en 1979.",,,
"agent/FRAN_RI_013-d3m0bo5zj38--16c2uzagbnsw4","d3m0bo5zj38--16c2uzagbnsw4","CorporateBody","Fonds social européen",,,,"Créé en 1957.",,,
"agent/FRAN_RI_013-d3m0bo61piz-9849o51xq3xx","d3m0bo61piz-9849o51xq3xx","CorporateBody","Forces françaises libres","FFL",,,,,,
"agent/FRAN_RI_013-d-1n4224iyo--1rw9qj9l70l8x","d-1n4224iyo--1rw9qj9l70l8x","CorporateBody","Forges d'Arcachon (France, 1848-....)",,"1848-01-01",,"Association entre patrons et ouvriers",,,
"agent/FRAN_RI_013-d3m0bo5xg7t-xv9r71bbfuxd","d3m0bo5xg7t-xv9r71bbfuxd","CorporateBody","Fraction Armée rouge (Allemagne)","Bande à Baader (Allemagne) | Rote Armee Fraktion (Allemagne)",,,,,,
"agent/FRAN_RI_013-d3m0bo6q5do-u7ytf6njqtvu","d3m0bo6q5do-u7ytf6njqtvu","CorporateBody","Framatome",,,,,,,
"agent/FRAN_RI_013-d3m0bo6m56i--n4rlh29ltlmc","d3m0bo6m56i--n4rlh29ltlmc","CorporateBody","France. Assemblée nationale",,,,,,,
"agent/FRAN_RI_013-d3m0bo6y85k-1brr1f4syasxy","d3m0bo6y85k-1brr1f4syasxy","CorporateBody","France. Centre d'analyse stratégique","Centre d'analyse stratégique (France) | France. Commissariat général du plan",,,"Commissariat général du plan : 1946-2006. Centre d'analyse stratégique : 2006-....",,,
"agent/FRAN_RI_013-d3m0bo5e1sv-vwv0m8scwjeo","d3m0bo5e1sv-vwv0m8scwjeo","CorporateBody","France. Comité consultatif de la recherche scientifique et technique","Comité consultatif de la recherche scientifique et technique (France)",,,"Créé en 1958.",,,
"agent/FRAN_RI_013-d3m0bo6tilo--1jzwqxdpxczn6","d3m0bo6tilo--1jzwqxdpxczn6","CorporateBody","France. Comité interministériel d'aménagement et de compétitivité des territoires","Comité interministériel d'aménagement et de compétitivité des territoires (France) | CIACT | France. Comité interministériel de l'aménagement et du développement du territoire | France. Comité interministériel de l'aménagement du territoire | CIAT | CIADT",,,,,,
"agent/FRAN_RI_013-d3m0bo5ijfj-bnhbj1thufbl","d3m0bo5ijfj-bnhbj1thufbl","CorporateBody","France. Comité interministériel de la mer","Comité interministériel de la mer (France)",,,"Créé en 1995.",,,
"agent/FRAN_RI_013-d3m0bo68pvj-1wexn0pvv9zw0","d3m0bo68pvj-1wexn0pvv9zw0","CorporateBody","France. Comité interministériel de la recherche scientifique et technique","Comité interministériel de la recherche scientifique et technique (France)",,,"Créé en 1958.",,,
"agent/FRAN_RI_013-d3m0bo5z19g-1m9b0r7ao50hy","d3m0bo5z19g-1m9b0r7ao50hy","CorporateBody","France. Commission consultative des marchés publics","Commission consultative des marchés publics (France) | Commission des marchés publics de l'Etat (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo6ix3w-l9e5a7n5t95j","d3m0bo6ix3w-l9e5a7n5t95j","CorporateBody","France. Commission d'accès aux documents administratifs","Commission d'accès aux documents administratifs (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo62bpm--1vn0qmo3ehelr","d3m0bo62bpm--1vn0qmo3ehelr","CorporateBody","France. Commission du débat national sur l’avenir de l’école","Commission du débat national sur l’avenir de l’école (France)",,,"2003-2004.",,,
"agent/FRAN_RI_013-d3m0bo6uqyy--1wy0pd5kwrjle","d3m0bo6uqyy--1wy0pd5kwrjle","CorporateBody","France. Commission interministérielle chargée de suivre l'application des mesures de déconcentration","Commission interministérielle chargée de suivre l'application des mesures de déconcentration (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo6p25s-m1o0tf5qcbwm","d3m0bo6p25s-m1o0tf5qcbwm","CorporateBody","France. Commission interministérielle des catastrophes naturelles","Commission interministérielle des catastrophes naturelles (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo5os1s-ypc4xiz6ruij","d3m0bo5os1s-ypc4xiz6ruij","CorporateBody","France. Commission nationale de l'informatique et des libertés","CNIL | Commission nationale de l'informatique et des libertés (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo584o7-1idw7k3v7gfxa","d3m0bo584o7-1idw7k3v7gfxa","CorporateBody","France. Commission nationale de la communication et des libertés","CNCL | Commission nationale de la communication et des libertés (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo5tkrs-t3et6d42p8b5","d3m0bo5tkrs-t3et6d42p8b5","CorporateBody","France. Commission nationale de l’inventaire général des monuments et des richesses artistiques de la France","Commission nationale de l’inventaire général des monuments et des richesses artistiques de la France",,,"Créée en 1964.",,,
"agent/FRAN_RI_013-d3m0bo5nexd--1gvzip6hwoqf3","d3m0bo5nexd--1gvzip6hwoqf3","CorporateBody","France. Commission nationale pour le développement social des quartiers","Commission nationale pour le développement social des quartiers (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo540if-9sunh9oat1vj","d3m0bo540if-9sunh9oat1vj","CorporateBody","France. Commission paritaire des publications et agences de presse","Commission paritaire des publications et agences de presse (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo63p8b-pt7iu2pzcfn1","d3m0bo63p8b-pt7iu2pzcfn1","CorporateBody","France. Conseil constitutionnel","Conseil constitutionnel (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo658an--1ljkb04dhrj1z","d3m0bo658an--1ljkb04dhrj1z","CorporateBody","France. Conseil d'Etat (13..-1791)","France. Conseil du Roi",,,,,,
"agent/FRAN_RI_013-d3m0bo5tqbf--902l6tjth1je","d3m0bo5tqbf--902l6tjth1je","CorporateBody","France. Conseil de la jeunesse, de l'éducation populaire et des sports","Conseil de la jeunesse, de l'éducation populaire et des sports (France)",,,"1946-1984.",,,
"agent/FRAN_RI_013-d3m0bo6pjla--qae3p5u6mvhe","d3m0bo6pjla--qae3p5u6mvhe","CorporateBody","France. Conseil économique, social et environnemental","Conseil économique, social et environnemental (France) | France. Conseil économique et social",,,"Créé en 1958.",,,
"agent/FRAN_RI_013-d3m0bo5bsla--4yzxtdwz3kxv","d3m0bo5bsla--4yzxtdwz3kxv","CorporateBody","France. Conseil général des ponts et chaussées","Conseil général des ponts et chaussées (France)",,,"Le Conseil général des ponts et chaussées et l'Inspection générale de l'environnement ont fusionné en 2008 pour devenir le Conseil général de l'environnement et du développement durable.",,,
"agent/FRAN_RI_013-d3m0bo5gi56--1ul472pl24lzg","d3m0bo5gi56--1ul472pl24lzg","CorporateBody","France. Conseil national d'aménagement et de développement du territoire","Conseil national d'aménagement et de développement du territoire (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo5qg9j--rzx7uu9f0z59","d3m0bo5qg9j--rzx7uu9f0z59","CorporateBody","France. Conseil national de l'enseignement supérieur et de la recherche","Conseil national de l'enseignement supérieur et de la recherche (France)",,,"Créé en 1968 en remplacement du Conseil de l'enseignement supérieur.",,,
"agent/FRAN_RI_013-d3m0bo62scm-18qmfz5100e8h","d3m0bo62scm-18qmfz5100e8h","CorporateBody","France. Conseil national de prévention de la délinquance","Conseil national de prévention de la délinquance (France)",,,"Créé en 1983.",,,
"agent/FRAN_RI_013-d3m0bo6mw4a-1fp1m9m12adfx","d3m0bo6mw4a-1fp1m9m12adfx","CorporateBody","France. Conseil national des transports","Conseil national des transports (France)",,,"Il fusionne en 2012 avec le Conseil supérieur du service public ferroviaire pour devenir le Conseil supérieur des transports terrestres et de l'intermodalité.",,,
"agent/FRAN_RI_013-d3m0bo6p83p--1vt3nnwqjqim5","d3m0bo6p83p--1vt3nnwqjqim5","CorporateBody","France. Conseil national du tourisme","Conseil national du tourisme (France) | Conseil supérieur du tourisme (France)",,,"Créé en 1910.",,,
"agent/FRAN_RI_013-d3m0bo58lpg-tshxknzik53c","d3m0bo58lpg-tshxknzik53c","CorporateBody","France. Conseil supérieur de l'audiovisuel","Conseil supérieur de l'audiovisuel (France)",,,"Créé en 1989. remplace la Commission nationale de la communication et des libertés (CNCL).",,,
"agent/FRAN_RI_013-d3m0bo520eu--4rteox0i5f8o","d3m0bo520eu--4rteox0i5f8o","CorporateBody","France. Conseil supérieur de l'aviation marchande","Conseil supérieur de l'aviation marchande (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo5a4dj--bujs5i4kg83e","d3m0bo5a4dj--bujs5i4kg83e","CorporateBody","France. Conseil supérieur de la fonction publique de l'Etat","Conseil supérieur de la fonction publique de l'Etat (France) | Conseil supérieur de la fonction publique (France)",,,"Créé en 1946.",,,
"agent/FRAN_RI_013-d3m0bo6eyhr-1xp8x5k275nes","d3m0bo6eyhr-1xp8x5k275nes","CorporateBody","France. Conseil supérieur de la fonction publique territoriale","Conseil supérieur de la fonction publique territoriale (France)",,,,,,
