"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant du pays dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Historique (rico:history)","Notes sur les modifications effectuées pour ce lieu (skos:changeNote)"
"place/FRAN_RI_005-d3ntxkz9ir-zo2znk0yyo9h","d3ntxkz9ir-zo2znk0yyo9h","Libéria",,,,,
"place/FRAN_RI_005-d3ntxl05f9-14ndeerzuicfo","d3ntxl05f9-14ndeerzuicfo","Libye","Tripolitaine",,,,
"place/FRAN_RI_005-d3ntxl0hpl--c624kdudp0ot","d3ntxl0hpl--c624kdudp0ot","Liechtenstein",,,,,
"place/FRAN_RI_005-d3ntxl0sx4-uuvy77ni56ar","d3ntxl0sx4-uuvy77ni56ar","Lituanie",,,,,
"place/FRAN_RI_005-d3ntxl14ce-18c4jk8e6gn4a","d3ntxl14ce-18c4jk8e6gn4a","Luxembourg",,,,,
"place/FRAN_RI_005-d3ntxl1ikk--cp61nlyulrn9","d3ntxl1ikk--cp61nlyulrn9","Macédoine (ARYM)","ERYM | ARYM | Ancienne-République-Yougoslave-de-Macédoine | Ex-République-Yougoslave-de-Macédoine",,,,
"place/FRAN_RI_005-d3ntxl1v2o--1qho9a07zb6kc","d3ntxl1v2o--1qho9a07zb6kc","Madagascar",,,,,
"place/FRAN_RI_005-d3ntxl26hy--j4iv2ygy9gcb","d3ntxl26hy--j4iv2ygy9gcb","Malaisie",,,,,
"place/FRAN_RI_005-d3ntxl2hph--xupysq6n4v0","d3ntxl2hph--xupysq6n4v0","Malawi",,,,,
"place/FRAN_RI_005-d3ntxl2tka--1i5qx5obd379r","d3ntxl2tka--1i5qx5obd379r","Maldives",,,,,
"place/FRAN_RI_005-d3ntxl34zk-1ite6286zy9kc","d3ntxl34zk-1ite6286zy9kc","Mali",,,,,
"place/FRAN_RI_005-d3ntxl3gud--1dts4g19kvj70","d3ntxl3gud--1dts4g19kvj70","Malte",,,,,
"place/FRAN_RI_005-d3ntxl3s9o-18z3mton10zrv","d3ntxl3s9o-18z3mton10zrv","Maroc",,,,,
"place/FRAN_RI_005-d3ntxl43h7-1cidkwjplzvfm","d3ntxl43h7-1cidkwjplzvfm","Marshall",,,,,
"place/FRAN_RI_005-d3ntxl4f49--1d0j1kmpl73nk","d3ntxl4f49--1d0j1kmpl73nk","Maurice",,,,,
"place/FRAN_RI_005-d3ntxl4tk6--1ewb1qskfwkmk","d3ntxl4tk6--1ewb1qskfwkmk","Mauritanie",,,,,
"place/FRAN_RI_005-d3ntxl5629--bz5leouyg7ju","d3ntxl5629--bz5leouyg7ju","Mexique",,,,,
"place/FRAN_RI_005-d3ntxl5hhk--5nzr3scbfq16","d3ntxl5hhk--5nzr3scbfq16","Micronésie",,,,,
"place/FRAN_RI_005-d3ntxl5sp2--1ljz837l5jke0","d3ntxl5sp2--1ljz837l5jke0","Moldavie",,,,,
"place/FRAN_RI_005-d3ntxl64jw-1801oxsl3mitn","d3ntxl64jw-1801oxsl3mitn","Monaco",,,,,
"place/FRAN_RI_005-d3ntxl6frf--1h6nm3vlx8v1y","d3ntxl6frf--1h6nm3vlx8v1y","Mongolie",,,,,
"place/FRAN_RI_005-d3ntxl6rm8--22ei92238m8l","d3ntxl6rm8--22ei92238m8l","Monténégro",,,,,
"place/FRAN_RI_005-d3ntxl72tr-1lyyssuwo4xwi","d3ntxl72tr-1lyyssuwo4xwi","Mozambique",,,,,
"place/FRAN_RI_005-d3ntxl7e1a--13m76gl0c378g","d3ntxl7e1a--13m76gl0c378g","Namibie",,,,,
"place/FRAN_RI_005-d3ntxl7pgk--1v1b30vgywuyh","d3ntxl7pgk--1v1b30vgywuyh","Nauru",,,,,
"place/FRAN_RI_005-d3ntxl85uc--don65d4577zi","d3ntxl85uc--don65d4577zi","Népal",,,,,
"place/FRAN_RI_005-d3ntxl8naw--1tre25j10mp7n","d3ntxl8naw--1tre25j10mp7n","Nicaragua",,,,,
"place/FRAN_RI_005-d3ntxl96pb-104vgyp6ymbxy","d3ntxl96pb-104vgyp6ymbxy","Niger",,,,,
"place/FRAN_RI_005-d3ntxl9izn--1ghsrztodx6qw","d3ntxl9izn--1ghsrztodx6qw","Nigéria",,,,,
"place/FRAN_RI_005-d3ntxl9v9z--nxz6o208s4yg","d3ntxl9v9z--nxz6o208s4yg","Norvège",,,,,
"place/FRAN_RI_005-d3ntxla6p9--1xaxq6mkx1374","d3ntxla6p9--1xaxq6mkx1374","Nouvelle-Zélande",,,,,
"place/FRAN_RI_005-d3ntxlaicb-15sl5wtih8vw1","d3ntxlaicb-15sl5wtih8vw1","Oman",,,,,
"place/FRAN_RI_005-d3ntxlatrl--1je454uojmhzj","d3ntxlatrl--1je454uojmhzj","Ouganda",,,,,
"place/FRAN_RI_005-d3ntxlb8fa--jizoatzpeysm","d3ntxlb8fa--jizoatzpeysm","Ouzbékistan",,,,,
"place/FRAN_RI_005-d3ntxlbkxd--1sy87xjyh4sft","d3ntxlbkxd--1sy87xjyh4sft","Pakistan",,,,,
"place/FRAN_RI_005-d3ntxlbw4w--f9a8dgfq8gro","d3ntxlbw4w--f9a8dgfq8gro","Palaos",,,,,
"place/FRAN_RI_005-d3ntxlc87h-1q6yz6frtt3u3","d3ntxlc87h-1q6yz6frtt3u3","Panama",,,,,
"place/FRAN_RI_005-d3ntxlcjmr-1xcez6eqs9z7i","d3ntxlcjmr-1xcez6eqs9z7i","Papouasie-Nouvelle-Guinée",,,,,
"place/FRAN_RI_005-d3ntxlcvhk-gmlm97bt6te5","d3ntxlcvhk-gmlm97bt6te5","Paraguay",,,,,
"place/FRAN_RI_005-d3ntxld6p3-1nlqlzrn1cur0","d3ntxld6p3-1nlqlzrn1cur0","Pays-Bas",,,,,
"place/FRAN_RI_005-d3ntxldijw-uft190sxh7am","d3ntxldijw-uft190sxh7am","Pérou",,,,,
"place/FRAN_RI_005-d3ntxldtz6--usy9n7boyqgb","d3ntxldtz6--usy9n7boyqgb","Philippines",,,,,
"place/FRAN_RI_005-d3ntxle8f4--7cm271muwi1d","d3ntxle8f4--7cm271muwi1d","Pologne",,,,,
"place/FRAN_RI_005-d3ntxlekx7--1o2ff4b0v3ptu","d3ntxlekx7--1o2ff4b0v3ptu","Portugal",,,,,
"place/FRAN_RI_005-d3ntxlf8ul--1lh1ssgtupfby","d3ntxlf8ul--1lh1ssgtupfby","Qatar",,,,,
"place/FRAN_RI_005-d5bdphxjo1-xc1fjs9iha0a","d5bdphxjo1-xc1fjs9iha0a","République démocratique allemande (1949-1990)","DDR | Allemagne de l'Est | RDA","1949","1990",,
"place/FRAN_RI_005-d5bdpcbqg7-dthfmmpfs7o3","d5bdpcbqg7-dthfmmpfs7o3","République fédérale d'Allemagne (1949-1990)","Allemagne de l'Ouest | RFA","1949","1990",,
"place/FRAN_RI_005-d3ntxlgwk5--1es7xt1ruo381","d3ntxlgwk5--1es7xt1ruo381","Roumanie",,,,,
"place/FRAN_RI_005-d3ntxlh9hr-pry10srrczvg","d3ntxlh9hr-pry10srrczvg","Royaume-Uni",,,,,
"place/FRAN_RI_005-d3ntxlhlzu--xk25nxgg86yz","d3ntxlhlzu--xk25nxgg86yz","Russie",,,,,
"place/FRAN_RI_005-d3ntxli131-1icxazkh6we0e","d3ntxli131-1icxazkh6we0e","Rwanda",,,,,
"place/FRAN_RI_005-d3ntxlipvg-x3sexrk332fr","d3ntxlipvg-x3sexrk332fr","Saint-Christophe-et-Niévès",,,,,
"place/FRAN_RI_005-d3ntxlju6m--15w1nabmqgo04","d3ntxlju6m--15w1nabmqgo04","Sainte-Lucie",,,,,
"place/FRAN_RI_005-d3ntxlj5e7--1jhalglp2tbdg","d3ntxlj5e7--1jhalglp2tbdg","Saint-Marin",,,,,
"place/FRAN_RI_005-d3ntxljibt--3aoja9muuafb","d3ntxljibt--3aoja9muuafb","Saint-Vincent-et-les-Grenadines",,,,,
"place/FRAN_RI_005-d3ntxlk9hl-j945om2vug29","d3ntxlk9hl-j945om2vug29","Salomon",,,,,
"place/FRAN_RI_005-d3ntxlkmmy--18c3wiljmwxmr","d3ntxlkmmy--18c3wiljmwxmr","Salvador",,,,,
"place/FRAN_RI_005-d3ntxlkyhr-6s57c615z97i","d3ntxlkyhr-6s57c615z97i","Samoa",,,,,
"place/FRAN_RI_005-d3ntxllh14--vic3ucufn7oq","d3ntxllh14--vic3ucufn7oq","Sao Tomé-et-Principe",,,,,
"place/FRAN_RI_005-d3ntxlm0fj--1uvyjh4y8ws6h","d3ntxlm0fj--1uvyjh4y8ws6h","Sénégal",,,,,
"place/FRAN_RI_005-d3ntxlmdso--t1w66c8igp2r","d3ntxlmdso--t1w66c8igp2r","Serbie",,,,,
"place/FRAN_RI_005-d5bdppexou-4dpc07v5ugdt","d5bdppexou-4dpc07v5ugdt","Serbie-et-Monténégro (2003-2006)",,"2003","2006",,
"place/FRAN_RI_005-d3ntxln25k--57jk9r2wmtrr","d3ntxln25k--57jk9r2wmtrr","Seychelles",,,,,
"place/FRAN_RI_005-d3ntxlne0d-uao68znm7sa8","d3ntxlne0d-uao68znm7sa8","Sierra Leone",,,,,
"place/FRAN_RI_005-d3ntxlntbc--m4yq8dhbge6x","d3ntxlntbc--m4yq8dhbge6x","Singapour",,,,,
"place/FRAN_RI_005-d3ntxlo6gp-1ifnicrch1rar","d3ntxlo6gp-1ifnicrch1rar","Slovaquie",,,,,
"place/FRAN_RI_005-d3ntxloija-4j2uxab038lo","d3ntxloija-4j2uxab038lo","Slovénie",,,,,
"place/FRAN_RI_005-d3ntxloy9s-rk89fxriv9w5","d3ntxloy9s-rk89fxriv9w5","Somalie",,,,,
"place/FRAN_RI_005-d3ntxlpb7d--15r3dsp199lci","d3ntxlpb7d--15r3dsp199lci","Soudan",,,,,
"place/FRAN_RI_005-d5bdp9fjhz--3pmapymo2bes","d5bdp9fjhz--3pmapymo2bes","Soudan du Sud",,,,"Créé en juillet 2011.",
"place/FRAN_RI_005-d3ntxlpn26-19ohab3qvbnnh","d3ntxlpn26-19ohab3qvbnnh","Sri Lanka","Ceylan",,,,
"place/FRAN_RI_005-d3ntxlq5lk-k2xz4bd4dcxr","d3ntxlq5lk-k2xz4bd4dcxr","Suède",,,,,
"place/FRAN_RI_005-d3ntxlqozz--1f3x6hvqucf3g","d3ntxlqozz--1f3x6hvqucf3g","Suisse",,,,,
"place/FRAN_RI_005-d3ntxlr25c-pg8sbysroo00","d3ntxlr25c-pg8sbysroo00","Suriname",,,,,
"place/FRAN_RI_005-d3ntxlthg7--1futlfkepgt7m","d3ntxlthg7--1futlfkepgt7m","Swaziland",,,,,
"place/FRAN_RI_005-d3ntxltulk--gas4jyk9me5c","d3ntxltulk--gas4jyk9me5c","Syrie",,,,,
"place/FRAN_RI_005-d3ntxlu6o5--19cn9hinz0tvi","d3ntxlu6o5--19cn9hinz0tvi","Tadjikistan",,,,,
"place/FRAN_RI_005-d3ntxluiyg-zd4essvny6sb","d3ntxluiyg-zd4essvny6sb","Taïwan",,,,,
"place/FRAN_RI_005-d3ntxluvgk--1r1p1lp3igou1","d3ntxluvgk--1r1p1lp3igou1","Tanzanie",,,,,
"place/FRAN_RI_005-d3ntxlv7bd--o4jl9nd24dqf","d3ntxlv7bd--o4jl9nd24dqf","Tchad",,,,,
"place/FRAN_RI_005-d5bdpod4fj-c5znnd28ssxr","d5bdpod4fj-c5znnd28ssxr","Tchécoslovaquie (1918-1992)",,"1918","1992",,
"place/FRAN_RI_005-d3ntxlvywn--1phrbr8n4wbf5","d3ntxlvywn--1phrbr8n4wbf5","Tchèque (République)","République tchèque",,,,
"place/FRAN_RI_005-d3ntxlwc21-5336iraxp597","d3ntxlwc21-5336iraxp597","Thaïlande","Siam",,,,
"place/FRAN_RI_005-d3ntxlworv--1fdexw10zuaea","d3ntxlworv--1fdexw10zuaea","Timor oriental","Timor-Leste",,,,
"place/FRAN_RI_005-d3ntxlx127-m9w5e2qttwap","d3ntxlx127-m9w5e2qttwap","Togo",,,,,
"place/FRAN_RI_005-d3ntxlxdcj--1rqrq6ingl9xw","d3ntxlxdcj--1rqrq6ingl9xw","Tonga",,,,,
"place/FRAN_RI_005-d3ntxlxsv9-1hd9movh3hhjv","d3ntxlxsv9-1hd9movh3hhjv","Trinité-et-Tobago",,,,,
"place/FRAN_RI_005-d3ntxly60m--alytytl85l0a","d3ntxly60m--alytytl85l0a","Tunisie",,,,,
"place/FRAN_RI_005-d3ntxlyiqh-1qqhr5msym7ns","d3ntxlyiqh-1qqhr5msym7ns","Turkménistan",,,,,
"place/FRAN_RI_005-d3ntxlyula-1qj2xqwyl4the","d3ntxlyula-1qj2xqwyl4the","Turquie",,,,,
"place/FRAN_RI_005-d3ntxlz73d--3kjbs9pqmpcq","d3ntxlz73d--3kjbs9pqmpcq","Tuvalu",,,,,
"place/FRAN_RI_005-d3ntxlzn9e--18rviijd4m2nf","d3ntxlzn9e--18rviijd4m2nf","Ukraine",,,,,
"place/FRAN_RI_005-d5bdozt385-1ddlqtimgcatn","d5bdozt385-1ddlqtimgcatn","URSS (1922-1991)","Union des républiques socialistes soviétiques | Union soviétique","1922","1991",,
"place/FRAN_RI_005-d3ntxm0chb-1mwjmevisbc56","d3ntxm0chb-1mwjmevisbc56","Uruguay",,,,,
"place/FRAN_RI_005-d3m08zg522c--1t6ub9c45zktn","d3m08zg522c--1t6ub9c45zktn","Vanuatu",,,,,
"place/FRAN_RI_005-d3ntxm14xo--le8il0cmf7di","d3ntxm14xo--le8il0cmf7di","Vatican","Saint-Siège",,,,
"place/FRAN_RI_005-d3ntxm1gkp-ow80x0hccfo4","d3ntxm1gkp-ow80x0hccfo4","Vénézuéla",,,,,
"place/FRAN_RI_005-d3ntxm1sfi-oacjamv1qe6l","d3ntxm1sfi-oacjamv1qe6l","Vietnam","Viêt Nam",,,,
"place/FRAN_RI_005-d5bdpqli3o--1p8qjh26hm9ro","d5bdpqli3o--1p8qjh26hm9ro","Vietnam (République démocratique du, 1955-1975)","Vietnam du Nord",,,,
"place/FRAN_RI_005-d5bdoz339m--19ffsppnq8o37","d5bdoz339m--19ffsppnq8o37","Vietnam (République du, 1955-1975)","Vietnam du Sud",,,,
"place/FRAN_RI_005-d3ntxm2zjj--9h4rp6xiguuu","d3ntxm2zjj--9h4rp6xiguuu","Yémen",,,,"Créé en 1990 par réunification du Yémen du Nord et du Yémen du Sud.",
"place/FRAN_RI_005-d5bdp33h9o--tybrmwi32a0g","d5bdp33h9o--tybrmwi32a0g","Yémen du Nord (1962-1990)",,"1962","1990",,
"place/FRAN_RI_005-d5bdp5nhc9--vyzbvk8gsb2m","d5bdp5nhc9--vyzbvk8gsb2m","Yémen du Sud (1967-1990)",,"1967","1990",,
"place/FRAN_RI_005-d3m08zfsbpu-ymiwkgh36rye","d3m08zfsbpu-ymiwkgh36rye","Yougoslavie (1929-1991)",,"1929","1991",,
"place/FRAN_RI_005-d3ntxm4i2v-algp8fl9dfke","d3ntxm4i2v-algp8fl9dfke","Zambie",,,,,
"place/FRAN_RI_005-d5bdpd7uhu--eglri0gyddko","d5bdpd7uhu--eglri0gyddko","Zimbabwe",,,,,